time,count
00:00,133
00:15,139
00:30,170
00:45,185
01:00,192
01:15,195
01:30,215
01:45,237
02:00,216
02:15,218
02:30,232
02:45,255
03:00,161
03:15,165
03:30,186
03:45,217
04:00,70
04:15,72
04:30,94
04:45,133
05:00,29
05:15,29
05:30,39
05:45,81
06:00,7
06:15,7
06:30,9
06:45,29
07:00,8
07:15,8
07:30,7
07:45,15
08:00,63
08:15,63
08:30,127
08:45,119
09:00,180
09:15,181
09:30,193
09:45,205
10:00,238
10:15,243
10:30,248
10:45,260
11:00,283
11:15,284
11:30,287
11:45,303
14:00,168
14:15,170
14:30,195
14:45,212
15:00,41
15:15,37
15:30,47
15:45,120
16:00,4
16:15,3
16:30,4
16:45,39
21:00,7
21:15,7
21:30,10
21:45,12
22:00,27
22:15,28
22:30,38
22:45,42
23:00,52
23:15,54
23:30,78
23:45,91
